"Entry","Name","DTF","DTS","DTM"
283,"PI 432201 LSP AGL",134.5,156.5,174
284,"PI 432212 LSP AGL",145,164,181
285,"PI 432236 LSP AGL",147.333333333333,164,176.333333333333
286,"PI 432245 LSP AGL",130,149,171
287,"PI 432271 LSP AGL",148.666666666667,164,182.333333333333
288,"PI 432286 LSP AGL",137,155,177.666666666667
289,"PI 451763 LSP AGL",129.333333333333,151,174.666666666667
290,"PI 458503 LSP AGL",129.666666666667,152.666666666667,176.333333333333
291,"PI 468900 LSP AGL",137.666666666667,156.666666666667,176.333333333333
292,"PI 468901 AGL",134.333333333333,152.666666666667,175
293,"PI 468902 LSP AGL",134.333333333333,155.333333333333,173.333333333333
294,"PI 472136 LSP AGL",116,132.333333333333,163.666666666667
295,"PI 472205 LSP AGL",113.666666666667,129,158.333333333333
296,"PI 472213 LSP AGL",144.666666666667,161.666666666667,182
297,"PI 472327 LSP AGL",121,132.666666666667,164
298,"PI 472380 LSP AGL",121,134.333333333333,164
299,"PI 472416 LSP AGL",120.666666666667,133.333333333333,163.666666666667
300,"PI 472488 LSP AGL",113.666666666667,130.666666666667,163.666666666667
301,"PI 472559 LSP AGL",116.666666666667,133.333333333333,163.666666666667
302,"PI 472561 LSP AGL",114,130.333333333333,164
303,"PI 472569 LSP AGL",114.666666666667,131,164
304,"PI 472588 LSP AGL",137,151.333333333333,178
305,"PI 472590 LSP AGL",141.333333333333,156,174.666666666667
306,"PI 472615 LSP AGL",120.666666666667,137.333333333333,172
307,"PI 472629 LSP AGL",133.333333333333,156.333333333333,177.666666666667
308,"PI 477921 LSP AGL",131.333333333333,151.333333333333,175.666666666667
309,"PI 490288 LSP AGL",134.333333333333,154.666666666667,173.333333333333
310,"PI 490289 LSP AGL",143.666666666667,155.666666666667,176
311,"PI 508090 AGL",128,150.666666666667,175
312,"PI 518733 LSP AGL",134,160.333333333333,176
313,"PI 518734 LSP AGL",133.666666666667,154.666666666667,176.333333333333
314,"PI 533688 LSP AGL",141.333333333333,159.333333333333,184
315,"PI 533693 LSP AGL",142,155.666666666667,174.666666666667
316,"PI 612875 AGL",120.666666666667,135.333333333333,169.666666666667
317,"PI 643451 AGL",118.333333333333,133,163.666666666667
318,"PI 643452 AGL",121,132.333333333333,164
319,"Shasta AGL",129.333333333333,149.666666666667,180.333333333333
320,"W6 27754 LSP AGL",133.666666666667,152,181
321,"W6 27760 LSP AGL",123,141.333333333333,172
322,"W6 27763 LSP AGL",125.666666666667,145,171.666666666667
323,"W6 27766 LSP AGL",110.333333333333,128.333333333333,166
324,"W6 27767 LSP AGL",125.333333333333,143.333333333333,174.666666666667
