"env","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M","T2M_MAX","T2M_MIN","PRECTOT","WS2M","RH2M","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","daysFromStart","DayLength"
"Sutherland 2016",-106.5054,52.1677,2016,7,8,190,2016-07-08,19.91,25.63,14.73,3.93,1.68,64.31,12.48,372.91,11.96,73,16.5236909587359
"Sutherland 2016",-106.5054,52.1677,2016,7,9,191,2016-07-09,21.32,26.05,15.4,1.57,1.48,68.5,14.68,372.09,23.14,74,16.4950109738477
"Sutherland 2016",-106.5054,52.1677,2016,7,10,192,2016-07-10,19.98,24.83,15.52,2.63,1.87,73.31,14.65,379.7,15.64,75,16.4648986561266
"Sutherland 2016",-106.5054,52.1677,2016,7,11,193,2016-07-11,18.32,21.94,15.43,27.21,3.27,83.5,15.25,375.35,7.92,76,16.4333844621671
"Sutherland 2016",-106.5054,52.1677,2016,7,12,194,2016-07-12,15.69,17.62,14.19,23.07,5.01,89.06,13.89,363.03,12.18,77,16.4004995942736
"Sutherland 2016",-106.5054,52.1677,2016,7,13,195,2016-07-13,18.09,23.2,12.45,0.3,3.42,68.75,11.88,345.8,24.52,78,16.3662758987479
"Sutherland 2016",-106.5054,52.1677,2016,7,14,196,2016-07-14,16.87,20.68,12.15,0.29,1.44,73.06,11.67,352.09,22.21,79,16.3307457658747
"Sutherland 2016",-106.5054,52.1677,2016,7,15,197,2016-07-15,18.01,22.83,12.35,0.03,0.81,63.56,10.53,330.05,26.69,80,16.2939420321212
"Sutherland 2016",-106.5054,52.1677,2016,7,16,198,2016-07-16,18.17,23.12,12.8,0.14,1.95,63.5,10.8,339.3,25.8,81,16.2558978850176
"Sutherland 2016",-106.5054,52.1677,2016,7,17,199,2016-07-17,18.26,22.94,11.85,1.51,2.23,71.19,12.66,365.55,19.5,82,16.2166467711291
"Sutherland 2016",-106.5054,52.1677,2016,7,18,200,2016-07-18,19.89,25.84,12.44,0,1.48,69.12,13.58,351.15,27.09,83,16.1762223074777
"Sutherland 2016",-106.5054,52.1677,2016,7,19,201,2016-07-19,23.3,30.28,15.94,2.08,2.82,61,14.8,363.08,26.94,84,16.1346581967186
"Sutherland 2016",-106.5054,52.1677,2016,7,20,202,2016-07-20,22.37,28.75,15.34,0.73,3.66,58.81,12.96,347.95,27.45,85,16.0919881463237
"Sutherland 2016",-106.5054,52.1677,2016,7,21,203,2016-07-21,21.55,26.9,15.8,0.24,3.66,59.81,12.85,351.48,24.16,86,16.0482457919742
"Sutherland 2016",-106.5054,52.1677,2016,7,22,204,2016-07-22,21.58,28.62,13.48,1.63,1.84,60.94,12.87,360.44,23.25,87,16.0034646253165
"Sutherland 2016",-106.5054,52.1677,2016,7,23,205,2016-07-23,18.8,24.33,14.9,9.41,4.32,71.88,13.11,367.23,20.02,88,15.9576779261904
"Sutherland 2016",-106.5054,52.1677,2016,7,24,206,2016-07-24,20.24,26.33,13.01,0,3.36,59.25,11.35,346.48,26.94,89,15.9109186993952
"Sutherland 2016",-106.5054,52.1677,2016,7,25,207,2016-07-25,20.77,26.87,14.53,0.04,2.83,53.25,10.08,344.91,27.49,90,15.8632196160224
"Sutherland 2016",-106.5054,52.1677,2016,7,26,208,2016-07-26,19.23,25.98,12.23,0,1.54,54.88,9.19,343.8,23.51,91,15.8146129593456
"Sutherland 2016",-106.5054,52.1677,2016,7,27,209,2016-07-27,19.98,26.72,11.9,0,1.16,57.56,10.58,338.35,26.82,92,15.7651305752291
"Sutherland 2016",-106.5054,52.1677,2016,7,28,210,2016-07-28,21.84,28.63,13.51,0.16,1.67,53.38,11.26,367.38,23,93,15.7148038269851
"Sutherland 2016",-106.5054,52.1677,2016,7,29,211,2016-07-29,21.15,25.59,17.61,0.84,1.3,59.31,12.67,375.16,19.85,94,15.6636635545877
"Sutherland 2016",-106.5054,52.1677,2016,7,30,212,2016-07-30,22.48,28.93,15.69,0.17,1.84,53.56,11.94,372.34,17.06,95,15.6117400381279
