Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Sp16,"Cordoba, Spain",2016,2017-04-27,6:31:48,Weather Station,Day Length,Hours,13.49,135
Sp16,"Cordoba, Spain",2016,2017-04-28,6:30:36,Weather Station,Day Length,Hours,13.53,136
Sp16,"Cordoba, Spain",2016,2017-04-29,6:29:24,Weather Station,Day Length,Hours,13.56,137
Sp16,"Cordoba, Spain",2016,2017-04-30,6:28:48,Weather Station,Day Length,Hours,13.6,138
Sp16,"Cordoba, Spain",2016,2017-05-01,6:27:36,Weather Station,Day Length,Hours,13.63,139
Sp16,"Cordoba, Spain",2016,2017-05-02,6:26:24,Weather Station,Day Length,Hours,13.66,140
Sp16,"Cordoba, Spain",2016,2017-05-03,6:25:12,Weather Station,Day Length,Hours,13.7,141
Sp16,"Cordoba, Spain",2016,2017-05-04,6:24:00,Weather Station,Day Length,Hours,13.73,142
Sp16,"Cordoba, Spain",2016,2017-05-05,6:22:48,Weather Station,Day Length,Hours,13.76,143
Sp16,"Cordoba, Spain",2016,2017-05-06,6:21:36,Weather Station,Day Length,Hours,13.8,144
Sp16,"Cordoba, Spain",2016,2017-05-07,6:21:00,Weather Station,Day Length,Hours,13.83,145
Sp16,"Cordoba, Spain",2016,2017-05-08,6:19:48,Weather Station,Day Length,Hours,13.86,146
Sp16,"Cordoba, Spain",2016,2017-05-09,6:18:36,Weather Station,Day Length,Hours,13.89,147
Sp16,"Cordoba, Spain",2016,2017-05-10,6:18:00,Weather Station,Day Length,Hours,13.92,148
Sp16,"Cordoba, Spain",2016,2017-05-11,6:16:48,Weather Station,Day Length,Hours,13.95,149
Sp16,"Cordoba, Spain",2016,2017-05-12,6:16:12,Weather Station,Day Length,Hours,13.98,150
Sp16,"Cordoba, Spain",2016,2017-05-13,6:15:00,Weather Station,Day Length,Hours,14.01,151
Sp16,"Cordoba, Spain",2016,2017-05-14,6:14:24,Weather Station,Day Length,Hours,14.04,152
Sp16,"Cordoba, Spain",2016,2017-05-15,6:13:12,Weather Station,Day Length,Hours,14.07,153
Sp16,"Cordoba, Spain",2016,2017-05-16,6:12:36,Weather Station,Day Length,Hours,14.1,154
Sp16,"Cordoba, Spain",2016,2017-05-17,6:12:00,Weather Station,Day Length,Hours,14.13,155
Sp16,"Cordoba, Spain",2016,2017-05-18,6:10:48,Weather Station,Day Length,Hours,14.15,156
Sp16,"Cordoba, Spain",2016,2017-05-19,6:10:12,Weather Station,Day Length,Hours,14.18,157
Sp16,"Cordoba, Spain",2016,2017-05-20,6:09:36,Weather Station,Day Length,Hours,14.2,158
Sp16,"Cordoba, Spain",2016,2017-05-21,6:09:00,Weather Station,Day Length,Hours,14.23,159
Sp16,"Cordoba, Spain",2016,2017-05-22,6:08:24,Weather Station,Day Length,Hours,14.25,160
Sp16,"Cordoba, Spain",2016,2017-05-23,6:07:48,Weather Station,Day Length,Hours,14.28,161
Sp16,"Cordoba, Spain",2016,2017-05-24,6:07:12,Weather Station,Day Length,Hours,14.3,162
Sp16,"Cordoba, Spain",2016,2017-05-25,6:06:36,Weather Station,Day Length,Hours,14.32,163
Sp16,"Cordoba, Spain",2016,2017-05-26,6:06:00,Weather Station,Day Length,Hours,14.34,164
Sp16,"Cordoba, Spain",2016,2017-05-27,6:05:24,Weather Station,Day Length,Hours,14.36,165
Sp16,"Cordoba, Spain",2016,2017-05-28,6:04:48,Weather Station,Day Length,Hours,14.39,166
Sp16,"Cordoba, Spain",2016,2017-05-29,6:04:48,Weather Station,Day Length,Hours,14.4,167
Sp16,"Cordoba, Spain",2016,2017-05-30,6:04:12,Weather Station,Day Length,Hours,14.42,168
Sp16,"Cordoba, Spain",2016,2017-05-31,6:03:36,Weather Station,Day Length,Hours,14.44,169
Sp16,"Cordoba, Spain",2016,2017-06-01,6:03:36,Weather Station,Day Length,Hours,14.46,170
Sp16,"Cordoba, Spain",2016,2017-06-02,6:03:00,Weather Station,Day Length,Hours,14.48,171
Sp16,"Cordoba, Spain",2016,2016-12-13,3:50:00,Weather Station,Temperature,C,4.6,0
