Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Ne17,"Bardiya, Nepal",2017,2018-03-20,6:25:12,Weather Station,Day Length,Hours,11.99,137
Ne17,"Bardiya, Nepal",2017,2018-03-21,6:24:00,Weather Station,Day Length,Hours,12.02,138
Ne17,"Bardiya, Nepal",2017,2018-03-22,6:22:48,Weather Station,Day Length,Hours,12.05,139
Ne17,"Bardiya, Nepal",2017,2018-03-23,6:21:36,Weather Station,Day Length,Hours,12.08,140
Ne17,"Bardiya, Nepal",2017,2018-03-24,6:20:24,Weather Station,Day Length,Hours,12.11,141
Ne17,"Bardiya, Nepal",2017,2018-03-25,6:19:12,Weather Station,Day Length,Hours,12.14,142
Ne17,"Bardiya, Nepal",2017,2018-03-26,6:18:00,Weather Station,Day Length,Hours,12.17,143
Ne17,"Bardiya, Nepal",2017,2018-03-27,6:16:48,Weather Station,Day Length,Hours,12.19,144
Ne17,"Bardiya, Nepal",2017,2018-03-28,6:16:12,Weather Station,Day Length,Hours,12.22,145
Ne17,"Bardiya, Nepal",2017,2018-03-29,6:15:00,Weather Station,Day Length,Hours,12.25,146
Ne17,"Bardiya, Nepal",2017,2018-03-30,6:13:48,Weather Station,Day Length,Hours,12.28,147
Ne17,"Bardiya, Nepal",2017,2018-03-31,6:12:36,Weather Station,Day Length,Hours,12.31,148
Ne17,"Bardiya, Nepal",2017,2018-04-01,6:11:24,Weather Station,Day Length,Hours,12.33,149
Ne17,"Bardiya, Nepal",2017,2018-04-02,6:10:12,Weather Station,Day Length,Hours,12.36,150
Ne17,"Bardiya, Nepal",2017,2018-04-03,6:09:00,Weather Station,Day Length,Hours,12.39,151
Ne17,"Bardiya, Nepal",2017,2018-04-04,6:07:48,Weather Station,Day Length,Hours,12.42,152
Ne17,"Bardiya, Nepal",2017,2018-04-05,6:06:36,Weather Station,Day Length,Hours,12.45,153
Ne17,"Bardiya, Nepal",2017,2018-04-06,6:06:00,Weather Station,Day Length,Hours,12.47,154
Ne17,"Bardiya, Nepal",2017,2018-04-07,6:04:48,Weather Station,Day Length,Hours,12.5,155
Ne17,"Bardiya, Nepal",2017,2018-04-08,6:03:36,Weather Station,Day Length,Hours,12.53,156
Ne17,"Bardiya, Nepal",2017,2018-04-09,6:02:24,Weather Station,Day Length,Hours,12.56,157
Ne17,"Bardiya, Nepal",2017,2018-04-10,6:01:12,Weather Station,Day Length,Hours,12.58,158
Ne17,"Bardiya, Nepal",2017,2018-04-11,6:00:00,Weather Station,Day Length,Hours,12.61,159
Ne17,"Bardiya, Nepal",2017,2018-04-12,5:59:24,Weather Station,Day Length,Hours,12.64,160
Ne17,"Bardiya, Nepal",2017,2018-04-13,5:58:12,Weather Station,Day Length,Hours,12.67,161
Ne17,"Bardiya, Nepal",2017,2018-04-14,5:57:00,Weather Station,Day Length,Hours,12.69,162
Ne17,"Bardiya, Nepal",2017,2018-04-15,5:55:48,Weather Station,Day Length,Hours,12.72,163
Ne17,"Bardiya, Nepal",2017,2018-04-16,5:55:12,Weather Station,Day Length,Hours,12.75,164
Ne17,"Bardiya, Nepal",2017,2018-04-17,5:54:00,Weather Station,Day Length,Hours,12.77,165
