Entry,Name,Expt,DTF,DTM
17,CDC Robin AGL,Sp17,131.3333333,154
17,CDC Robin AGL,Mo16,128,156.6666667
17,CDC Robin AGL,Mo17,123.6666667,166.3333333
17,CDC Robin AGL,It16,129.3333333,173.3333333
17,CDC Robin AGL,It17,144.3333333,173.6666667
18,CDC Rosebud AGL,Ro16,50,98
18,CDC Rosebud AGL,Ro17,47.33333333,82
18,CDC Rosebud AGL,Su16,54,99
18,CDC Rosebud AGL,Su17,54.66666667,87
18,CDC Rosebud AGL,Su18,47,90.33333333
18,CDC Rosebud AGL,Us18,63.5,98
18,CDC Rosebud AGL,In16,56,NA
18,CDC Rosebud AGL,In17,60,102.5
18,CDC Rosebud AGL,Ba16,75.66666667,120.3333333
18,CDC Rosebud AGL,Ba17,76.66666667,105
18,CDC Rosebud AGL,Ne16,106.3333333,141.6666667
18,CDC Rosebud AGL,Ne17,121.3333333,150.3333333
18,CDC Rosebud AGL,Sp16,116.3333333,156
18,CDC Rosebud AGL,Sp17,126.6666667,154
18,CDC Rosebud AGL,Mo16,126,156.3333333
18,CDC Rosebud AGL,Mo17,117,152.3333333
18,CDC Rosebud AGL,It16,125.3333333,173
18,CDC Rosebud AGL,It17,136.6666667,174.3333333
19,CDC Rosetown AGL,Ro16,52.66666667,97.33333333
19,CDC Rosetown AGL,Ro17,51,NA
19,CDC Rosetown AGL,Su16,57.66666667,100.3333333
19,CDC Rosetown AGL,Su17,57.66666667,90
19,CDC Rosetown AGL,Su18,52.66666667,93.66666667
19,CDC Rosetown AGL,Us18,68.5,97.5
19,CDC Rosetown AGL,In16,86,NA
19,CDC Rosetown AGL,In17,85,NA
19,CDC Rosetown AGL,Ba16,96.5,NA
19,CDC Rosetown AGL,Ba17,87.66666667,107
19,CDC Rosetown AGL,Ne16,118.6666667,146
19,CDC Rosetown AGL,Ne17,123.6666667,155.6666667
19,CDC Rosetown AGL,Sp16,118.6666667,153
19,CDC Rosetown AGL,Sp17,128.6666667,154
19,CDC Rosetown AGL,Mo16,128,159
19,CDC Rosetown AGL,Mo17,123.6666667,168.3333333
19,CDC Rosetown AGL,It16,129.3333333,174.6666667
19,CDC Rosetown AGL,It17,138.6666667,176.3333333
20,CDC Rouleau AGL,Ro16,50.66666667,98
20,CDC Rouleau AGL,Ro17,48.66666667,NA
20,CDC Rouleau AGL,Su16,55,98.66666667
20,CDC Rouleau AGL,Su17,55.33333333,90
20,CDC Rouleau AGL,Su18,48.66666667,92
20,CDC Rouleau AGL,Us18,62,97
20,CDC Rouleau AGL,In16,83,NA
20,CDC Rouleau AGL,In17,76.5,NA
20,CDC Rouleau AGL,Ba16,90.33333333,NA
20,CDC Rouleau AGL,Ba17,88.33333333,114
20,CDC Rouleau AGL,Ne16,128.3333333,NA
20,CDC Rouleau AGL,Ne17,123.6666667,152.3333333
20,CDC Rouleau AGL,Sp16,117,153
20,CDC Rouleau AGL,Sp17,131.3333333,155.3333333
20,CDC Rouleau AGL,Mo16,127.6666667,161
20,CDC Rouleau AGL,Mo17,117,166.3333333
20,CDC Rouleau AGL,It16,133.6666667,181.6666667
20,CDC Rouleau AGL,It17,142,176.3333333
21,CDC Royale AGL,Ro16,49,96.66666667
21,CDC Royale AGL,Ro17,48.66666667,NA
21,CDC Royale AGL,Su16,54,100
21,CDC Royale AGL,Su17,56.33333333,92
21,CDC Royale AGL,Su18,48.5,97
21,CDC Royale AGL,Us18,61.66666667,99
21,CDC Royale AGL,In16,86,NA
21,CDC Royale AGL,In17,75.33333333,NA
21,CDC Royale AGL,Ba16,79.66666667,NA
21,CDC Royale AGL,Ba17,82.66666667,106
21,CDC Royale AGL,Ne16,110.6666667,144.3333333
21,CDC Royale AGL,Ne17,123.3333333,151.3333333
21,CDC Royale AGL,Sp16,116.6666667,151.6666667
21,CDC Royale AGL,Sp17,124.3333333,154.6666667
21,CDC Royale AGL,Mo16,127.6666667,155
21,CDC Royale AGL,Mo17,120,159.3333333
21,CDC Royale AGL,It16,125.3333333,173.3333333
21,CDC Royale AGL,It17,141,170
22,CDC Ruby AGL,Ro16,49.66666667,98
22,CDC Ruby AGL,Ro17,46,82
22,CDC Ruby AGL,Su16,51,100.6666667
22,CDC Ruby AGL,Su17,52.66666667,90
22,CDC Ruby AGL,Su18,47,91
