"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Asia","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.199.1","283935","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Asia","Asylum claimants","","0","units","0","","1.1.2.1.199.3","8620","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Asia","Non-permanent residents with a work permit only","","0","units","0","","1.1.2.1.199.4","10","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Asia","Non-permanent residents with a study permit only","","0","units","0","","1.1.2.1.199.5","18885","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Asia","Other non-permanent resident types","","0","units","0","","1.1.2.1.199.7","9365","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Asia","Not a non-permanent resident","","0","units","0","","1.1.2.1.199.8","247060","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Oceania","Total - Non-permanent resident type","","0","units","0","","1.1.2.1.256.1","5425","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Oceania","Asylum claimants","","0","units","0","","1.1.2.1.256.3","40","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Oceania","Non-permanent residents with a study permit only","","0","units","0","","1.1.2.1.256.5","400","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Oceania","Other non-permanent resident types","","0","units","0","","1.1.2.1.256.7","215","","","","0"
"2021","Canada","2021A000011124","Total - Gender","0 to 14 years","Count","Oceania","Not a non-permanent resident","","0","units","0","","1.1.2.1.256.8","4770","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.1.1","4181060","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Asylum claimants","","0","units","0","","1.1.4.1.1.3","18930","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Non-permanent residents with a work permit only","","0","units","0","","1.1.4.1.1.4","65550","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Non-permanent residents with a study permit only","","0","units","0","","1.1.4.1.1.5","110245","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Non-permanent residents with work and study permits","","0","units","0","","1.1.4.1.1.6","68635","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Other non-permanent resident types","","0","units","0","","1.1.4.1.1.7","12490","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Total – Place of birth","Not a non-permanent resident","","0","units","0","","1.1.4.1.1.8","3905210","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Inside Canada","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.2.1","3246250","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Inside Canada","Not a non-permanent resident","","0","units","0","","1.1.4.1.2.8","3246250","","","","0"
