"REF_DATE","GEO","DGUID","Principal trading partner","North American Product Classification System (NAPCS)","Trade","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1922975.8","","","","1"
"2011","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2050586.7","","","","1"
"2012","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1857364.0","","","","1"
"2013","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1865921.4","","","","1"
"2014","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2197831.3","","","","1"
"2015","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1359018.1","","","","1"
"2016","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1333955.7","","","","1"
"2017","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2221653.7","","","","1"
"2018","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2618840.1","","","","1"
"2019","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","2095672.7","","","","1"
"2020","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Export","Dollars","81","thousands","3","v1073209762","1.1.15.1","1477061.5","","","","1"
"1999","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","108027.6","","","","1"
"2000","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","182652.0","","","","1"
"2001","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","107564.4","","","","1"
"2002","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","86614.8","","","","1"
"2003","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","162687.6","","","","1"
