"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","928.3","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","1012.1","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","1221.7","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","1048.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","","..","","","1"
"2021","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","","..","","","1"
"2022","Newfoundland and Labrador","2016A000210","Current dollars","Non-durable manufacturing industries [T011]","Dollars","81","millions","6","v62460558","1.1.5","","..","","","1"
"1997","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","81.9","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","115.6","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","208.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","192.5","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","192.2","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","154.6","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","223.7","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","219.5","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","239.9","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","171.9","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","165.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","174.5","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","168.2","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","196.8","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","238.5","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","221.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","310.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","347.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","459.8","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","323.3","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","273.1","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","299.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","335.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","","..","","","1"
"2021","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","","..","","","1"
"2022","Newfoundland and Labrador","2016A000210","Current dollars","Durable manufacturing industries [T012]","Dollars","81","millions","6","v62460559","1.1.6","","..","","","1"
"1997","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","334.9","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","384.9","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","384.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","432.6","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","421.9","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","491.9","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","511.7","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","554.1","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","532.0","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","591.8","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","591.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","611.6","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","587.8","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","617.6","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","685.6","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","733.5","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","657.8","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","Information and communication technology sector [T013]","Dollars","81","millions","6","v62460560","1.1.7","645.9","","","","1"
