"Name","Origin","Cluster","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group","Region"
"PI_298645_AGL","Spain",7,0,0,0,0,0,0,0.578172,0.421827,"Mix","Europe"
"PI_298921_AGL","Italy",5,0,0,0,0,0,0,0.675222,0.324778,"Mix","Europe"
"PI_298922_LSP_AGL","Italy",6,0,0.055789,0,0,0,0,0.178876,0.765335,"Mix","Europe"
"PI_298923_LSP_AGL","Italy",4,0.842837,0,0,0,0,0,0.157163,0,"P1","Europe"
"PI_299116_LSP_AGL","Mexico",4,0,0,0,0,0,0,0.157089,0.842911,"P8","Americas"
"PI_299120_LSP_AGL","Mexico",3,0,0,0,0,0,0,0.403501,0.596499,"Mix","Americas"
"PI_299121_LSP_AGL","Mexico",2,0,0,0,0,0,0,0.385979,0.614021,"Mix","Americas"
"PI_299126_LSP_AGL","Mexico",5,0,0,0,0,0,0,0.28669,0.71331,"Mix","Americas"
"PI_299163_LSP_AGL","Chile",7,0,0,0,0,0,0,0.91632,0.08368,"P7","Americas"
"PI_299164_LSP_AGL","Chile",4,0,0,0,0,0,0,0.664743,0.335257,"Mix","Americas"
"PI_299165_AGL","Chile",7,0,0,0,0,0,0,0.833003,0.166997,"P7","Americas"
"PI_299177_LSP_AGL","Chile",6,0,0,0,0,0,0,0.660101,0.339899,"Mix","Americas"
"PI_299237_LSP_AGL","Chile",4,0,0,0.591616,0,0,0,0.366697,0.041687,"Mix","Americas"
"PI_299289_AGL","Chile",7,0.573407,0,0,0,0,0,0.063895,0.362697,"Mix","Americas"
"PI_299312_AGL","Chile",7,0,0,0,0,0,0,1,0,"P7","Americas"
"PI_299345_AGL","Chile",7,0,0,0,0,0,0,1,0,"P7","Americas"
"PI_299351_LSP_AGL","Chile",6,0,0,1,0,0,0,0,0,"P3","Americas"
"PI_299366_LSP_AGL","Chile",5,0,0,0,0,0,0,0.846073,0.153927,"P7","Americas"
"PI_299375_LSP_AGL","Chile",5,0,0,0,0,0,0,0.822279,0.177721,"P7","Americas"
"PI_300250_LSP_AGL","Syria",5,0,1,0,0,0,0,0,0,"P2","Asia"
"PI_302398_LSP_AGL","Jordan",2,0,0.070202,0,0,0.131611,0,0.798187,0,"Mix","Asia"
"PI_308614_LSP_AGL","Syria",7,0,1,0,0,0,0,0,0,"P2","Asia"
"PI_311107_LSP_AGL","Guatemala",7,0,0,0,0,0,0,1,0,"P7","Americas"
"PI_312175_LSP_AGL","Mexico",7,0,0,0,0,0,0,0.039409,0.96059,"P8","Americas"
"PI_320935_LSP_AGL","Iran",4,0.920491,0,0,0,0,0.079508,0,0,"P1","Asia"
"PI_320936_LSP_AGL","Russia",3,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_320937_LSP_AGL","Germany",8,0,0,0,0,0,0,0,1,"P8","Europe"
"CN_105866_AGL","Tunisia",7,0,0,0,0,0.147767,0,0.852233,0,"P7","Africa"
"PI_320941_LSP_AGL","Ethiopia",6,0,0,0,0,0,1,0,0,"P6","Africa"
"PI_320941_LSP_AGL","Ethiopia",6,0,0,0,0,0,1,0,0,"P6","Africa"
"PI_320945_LSP_AGL","Bulgaria",6,0,0.046887,0,0,0,0,0.260065,0.693049,"Mix","Europe"
"PI_320946_LSP_AGL","Israel",5,0,0.013441,0,0,0.596187,0,0.390372,0,"Mix","Asia"
"PI_320952_LSP_AGL","Czech Republic",8,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_320953_LSP_AGL","Germany",8,0.040846,0.015152,0,0,0,0,0,0.944001,"P8","Europe"
"PI_320954_LSP_AGL","Hungary",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_329157_LSP_AGL","Iran",4,1,0,0,0,0,0,0,0,"P1","Asia"
"PI_329167_LSP_AGL","Iran",4,0.46592,0,0,0,0,0,0.53408,0,"Mix","Asia"
"PI_339266_LSP_AGL","Turkey",4,0.726656,0,0,0,0,0,0.273344,0,"Mix","Asia"
"PI_339283_LSP_AGL","Turkey",5,0.166198,0.431446,0.064118,0.18807,0,0.150168,0,0,"Mix","Asia"
"PI_339285_AGL","Turkey",5,0.15217,0.517449,0.081473,0.186643,0,0.062265,0,0,"Mix","Asia"
"PI_339289_LSP_AGL","Turkey",4,0.834542,0,0,0,0,0,0.165458,0,"P1","Asia"
"PI_339292_LSP_AGL","Turkey",4,0.859076,0,0,0,0,0,0,0.140924,"P1","Asia"
"PI_339296_AGL","Turkey",4,1,0,0,0,0,0,0,0,"P1","Asia"
"PI_343026_LSP_AGL","Tajikistan",4,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_345627_LSP_AGL","Ukraine",8,0,0,0,0,0,0,0.149052,0.850948,"P8","Europe"
"PI_358602_LSP_AGL","Ethiopia",7,0,0,0,0,0,0,0,1,"P8","Africa"
"PI_358602_LSP_AGL","Ethiopia",7,0,0,0,0,0,0,0,1,"P8","Africa"
"PI_368647_LSP_AGL","Macedonia",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_368647_LSP_AGL","Macedonia",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_368651_LSP_AGL","Macedonia",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_368651_LSP_AGL","Macedonia",7,0,0,0,0,0,0,0,1,"P8","Europe"
"PI_370481_LSP_AGL","Serbia",7,0,0,0,0,0,0,0.885351,0.114649,"P7","Europe"
"PI_374116_LSP_AGL","Morocco",7,0,0,0,0,0,0,0,1,"P8","Africa"
"PI_374117_LSP_AGL","Morocco",5,0,0.011095,0,0,2e-06,0,0.093582,0.895321,"P8","Africa"
"PI_374118_AGL","Morocco",5,0,0,0,0,1,0,0,0,"P5","Africa"
"PI_374120_LSP_AGL","Morocco",7,0,0,0,0,0,0,0.592833,0.407167,"Mix","Africa"
"PI_374121_AGL","Morocco",4,0,0,0,0,0,0,0.761865,0.238135,"Mix","Africa"
"PI_379368_LSP_AGL","Macedonia",4,0,0,0,0,0,0,0.765242,0.234758,"Mix","Europe"
"PI_379368_LSP_AGL","Macedonia",4,0,0,0,0,0,0,0.765242,0.234758,"Mix","Europe"
"PI_383682_LSP_AGL","Turkey",6,1,0,0,0,0,0,0,0,"P1","Asia"
"PI_420818_AGL","Greece",7,0,0,0,0,0.235746,0,0.764254,0,"Mix","Europe"
"PI_420924_LSP_AGL","Jordan",5,0,0.081074,0,0,0.027033,0,0.891893,0,"P7","Asia"
"PI_420925_LSP_AGL","Jordan",5,0,0,0,0,0.976017,0,0.023982,0,"P5","Asia"
"PI_420929_LSP_AGL","Jordan",5,0,0,0,0,1,0,0,0,"P5","Asia"
"PI_426202_LSP_AGL","Afghanistan",6,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_426778_LSP_AGL","Pakistan",6,0.552349,0,0,0.422437,0,0.025213,0,0,"Mix","Asia"
"PI_426784_LSP_AGL","Pakistan",2,0,0,0,1,0,0,0,0,"P4","Asia"
"PI_426797_LSP_AGL","Pakistan",2,0,0,0,1,0,0,0,0,"P4","Asia"
"PI_426807_LSP_AGL","Pakistan",5,0,0,0,1,0,0,0,0,"P4","Asia"
"PI_431618_LSP_AGL","Iran",4,0.81161,0,0,0,0,0,0.18839,0,"P1","Asia"
"PI_431622_LSP_AGL","Iran",6,0,0,1,0,0,0,0,0,"P3","Asia"
"PI_431630_LSP_AGL","Iran",6,0,0,0,0,0,1,0,0,"P6","Asia"
"PI_431633_LSP_AGL","Iran",4,0.444567,0,0,0,0,0,0.555433,0,"Mix","Asia"
"PI_431636_LSP_AGL","Iran",4,0.631667,0,0,0,0,0,0.368332,0,"Mix","Asia"
