"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","26.14","","","","2"
"2021","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","25.02","","","","2"
"2022","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","27.54","","","","2"
"2023","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","31.44","","","","2"
"2024","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","30.94","","","","2"
"1998","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","76.38","","","","2"
"1999","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","69.22","","","","2"
"2000","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","70.12","","","","2"
"2001","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","69.07","","","","2"
"2002","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.38","","","","2"
"2003","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","74.44","","","","2"
"2004","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","79.33","","","","2"
"2005","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","78.56","","","","2"
"2006","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","73.13","","","","2"
"2007","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","75.32","","","","2"
"2008","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.08","","","","2"
"2009","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.46","","","","2"
"2010","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","78.65","","","","2"
"2011","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.85","","","","2"
"2012","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","68.00","","","","2"
"2013","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","68.47","","","","2"
"2014","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","62.36","","","","2"
"2015","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","65.78","","","","2"
"2016","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","69.53","","","","2"
"2017","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","63.34","","","","2"
"2018","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","64.50","","","","2"
"2019","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","71.34","","","","2"
"2020","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","68.83","","","","2"
"2021","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","76.87","","","","2"
"2022","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","82.13","","","","2"
"2023","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","87.74","","","","2"
"2024","Newfoundland and Labrador [10]","2021A000210","Crime severity index","Index","160","units","0","v44312467","2.1","89.25","","","","2"
"1998","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","58.43","","","","2"
"1999","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","58.20","","","","2"
"2000","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","61.80","","","","2"
"2001","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","59.96","","","","2"
"2002","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","58.53","","","","2"
"2003","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","60.41","","","","2"
"2004","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","59.65","","","","2"
"2005","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","67.02","","","","2"
"2006","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","60.55","","","","2"
"2007","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","62.54","","","","2"
"2008","Newfoundland and Labrador [10]","2021A000210","Violent crime severity index","Index","160","units","0","v44312469","2.3","66.48","","","","2"
