"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1957-04","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","55357","","","","0"
"1957-05","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","54527","","","","0"
"1957-06","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","45864","","","","0"
"1957-07","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","42498","","","","0"
"1957-08","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","37902","","","","0"
"1957-09","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","32131","","","","0"
"1957-10","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","25773","","","","0"
"1957-11","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","26307","","","","0"
"1957-12","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","27104","","","","0"
"1958-01","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","30966","","","","0"
"1958-02","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","31636","","","","0"
"1958-03","Canada","2021A000011124","Total, new motor vehicles","All fuel types","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v1617802378","1.1.1.1.1.1","40596","","","","0"
