"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","54457","","","","0"
"1983","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","102385","","","","0"
"1984","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","83651","","","","0"
"1985","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","98624","","","","0"
"1986","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","120008","","","","0"
"1987","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","140139","","","","0"
"1988","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","128465","","","","0"
"1989","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","125968","","","","0"
"1990","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","102315","","","","0"
"1991","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","86567","","","","0"
"1992","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","92851","","","","0"
"1993","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","85099","","","","0"
"1994","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","89509","","","","0"
"1995","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","64425","","","","0"
"1996","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","77996","","","","0"
"1997","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","93186","","","","0"
"1998","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","86431","","","","0"
"1999","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","92190","","","","0"
"2000","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","92184","","","","0"
"2001","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","96026","","","","0"
"2002","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","125374","","","","0"
"2003","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","123227","","","","0"
"2004","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","129171","","","","0"
"2005","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","120463","","","","0"
"2006","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","121313","","","","0"
"2007","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","118917","","","","0"
"2008","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","93202","","","","0"
"2009","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","75659","","","","0"
"2010","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","92554","","","","0"
"2011","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","82392","","","","0"
"2012","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","83657","","","","0"
"2013","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","76893","","","","0"
"2014","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","75515","","","","0"
"2015","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","68125","","","","0"
"2016","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","74089","","","","0"
"2017","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","76843","","","","0"
"2018","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units","0","v730524","1.1.2","65940","","","","0"
