"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5400","E","","","0"
"2012","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","3900","E","","","0"
"2013","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5300","E","","","0"
"2014","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","6100","E","","","0"
"2015","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","5800","E","","","0"
"2016","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","4700","E","","","0"
"2017","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","6500","D","","","0"
"2018","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","6500","E","","","0"
"2019","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","7400","D","","","0"
"2020","Quebec","2016A000224","Median government transfers","Persons not in an economic family","2020 constant dollars","425","units","0","v96413344","7.6.14","12400","C","","","0"
"1976","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","61100","","","","0"
"1977","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","61200","","","","0"
"1978","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","61800","","","","0"
"1979","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","60700","","","","0"
"1980","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","61300","","","","0"
"1981","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","58200","","","","0"
"1982","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","57200","","","","0"
"1983","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","55900","","","","0"
"1984","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","56200","","","","0"
"1985","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","56500","","","","0"
"1986","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","55700","","","","0"
"1987","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","55700","","","","0"
"1988","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","55800","","","","0"
"1989","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","58400","","","","0"
"1990","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","53300","","","","0"
"1991","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","52100","","","","0"
"1992","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","51100","","","","0"
"1993","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","49600","A","","","0"
"1994","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","50900","A","","","0"
"1995","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","50500","A","","","0"
"1996","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","49700","A","","","0"
"1997","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","48700","A","","","0"
"1998","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","50500","A","","","0"
"1999","Quebec","2016A000224","Median total income","Economic families and persons not in an economic family","2020 constant dollars","425","units","0","v96413371","7.8.1","52500","A","","","0"
