"REF_DATE","GEO","DGUID","Institutional sector","Housing Type","Dwelling Occupation","Dwelling type","Tenure type","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","66556","","","","0"
"2018-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","67196","","","","0"
"2018-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","67858","","","","0"
"2019-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","68543","","","","0"
"2019-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","69254","","","","0"
"2019-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","69988","","","","0"
"2019-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","70748","","","","0"
"2020-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","71535","","","","0"
"2020-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","72348","","","","0"
"2020-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","73192","","","","0"
"2020-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","74064","","","","0"
"2021-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","74968","","","","0"
"2021-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","75903","","","","0"
"2021-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","76872","","","","0"
"2021-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","77875","","","","0"
"2022-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","78915","","","","0"
"2022-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","79991","","","","0"
"2022-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","81107","","","","0"
"2022-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","82264","","","","0"
"2023-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","83463","","","","0"
"2023-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","84705","","","","0"
"2023-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","85994","","","","0"
"2023-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","87332","","","","0"
"2024-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","88719","","","","0"
"2024-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","90158","","","","0"
"2024-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","91651","","","","0"
"2024-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","93201","","","","0"
"2025-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","94810","","","","0"
"2025-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","96481","","","","0"
"2025-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","98216","","","","0"
"2025-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","100018","","","","0"
"2016-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10422374","","","","0"
"2016-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10438425","","","","0"
"2016-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10454492","","","","0"
"2017-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10474546","","","","0"
"2017-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10490849","","","","0"
"2017-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10507219","","","","0"
"2017-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10523629","","","","0"
"2018-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10544238","","","","0"
"2018-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10560855","","","","0"
"2018-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10577583","","","","0"
"2018-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10594420","","","","0"
"2019-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10614804","","","","0"
"2019-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10631827","","","","0"
"2019-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10648914","","","","0"
"2019-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10666089","","","","0"
"2020-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10685649","","","","0"
"2020-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10701565","","","","0"
"2020-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10717343","","","","0"
"2020-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10737588","","","","0"
"2021-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10753977","","","","0"
"2021-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10787916","","","","0"
"2021-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10821314","","","","0"
"2021-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10862591","","","","0"
"2022-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10895902","","","","0"
"2022-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10928236","","","","0"
"2022-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10959862","","","","0"
"2022-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","10990740","","","","0"
"2023-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","11022020","","","","0"
"2023-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","11053264","","","","0"
"2023-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","11087990","","","","0"
"2023-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","11123427","","","","0"
"2024-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","11155303","","","","0"
"2024-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Owner","Unit of housing","Count","436","units","0","v1545147160","1.1.1.1.1.3.1","11187773","","","","0"
