"REF_DATE","GEO","DGUID","Family type","Age of older adult","Family income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","69200","","","","0"
"2004","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","71300","","","","0"
"2005","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","74900","","","","0"
"2006","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","77600","","","","0"
"2007","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","81050","","","","0"
"2008","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","83830","","","","0"
"2009","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","83370","","","","0"
"2010","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","85540","","","","0"
"2011","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","88920","","","","0"
"2012","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","92050","","","","0"
"2013","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","94770","","","","0"
"2014","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","97510","","","","0"
"2015","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","100450","","","","0"
"2016","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","101960","","","","0"
"2017","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","106470","","","","0"
"2018","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","109560","","","","0"
"2019","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","112730","","","","0"
"2020","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","118370","","","","0"
"2021","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","122720","","","","0"
"2022","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","127650","","","","0"
"2000","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","72600","","","","0"
"2001","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","76400","","","","0"
"2002","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","78700","","","","0"
"2003","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","80200","","","","0"
"2004","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","82800","","","","0"
"2005","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","86400","","","","0"
"2006","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","89300","","","","0"
"2007","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","92980","","","","0"
"2008","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","96010","","","","0"
"2009","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","94910","","","","0"
"2010","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","97110","","","","0"
"2011","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","100600","","","","0"
"2012","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","103690","","","","0"
"2013","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","106460","","","","0"
"2014","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","109600","","","","0"
"2015","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","112700","","","","0"
"2016","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","114400","","","","0"
"2017","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","119630","","","","0"
"2018","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","124320","","","","0"
"2019","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","128370","","","","0"
"2020","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","135820","","","","0"
"2021","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","140290","","","","0"
"2022","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","147220","","","","0"
"2000","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","59100","","","","0"
"2001","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","62600","","","","0"
"2002","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","65500","","","","0"
"2003","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","67100","","","","0"
"2004","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","70000","","","","0"
"2005","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","73200","","","","0"
"2006","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","76600","","","","0"
"2007","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","80340","","","","0"
"2008","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","83740","","","","0"
"2009","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","83750","","","","0"
"2010","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","85750","","","","0"
"2011","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","89050","","","","0"
"2012","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","92450","","","","0"
"2013","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","95370","","","","0"
"2014","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","98480","","","","0"
"2015","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","100960","","","","0"
"2016","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","102610","","","","0"
"2017","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","106350","","","","0"
"2018","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","110970","","","","0"
"2019","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","114820","","","","0"
"2020","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","121430","","","","0"
"2021","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","125120","","","","0"
"2022","Canada","2016A000011124","Couple families","55 to 64 years","Median total income","Dollars","81","units","0","v21253366","1.1.6.23","131380","","","","0"
"2000","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","39500","","","","0"
"2001","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","41500","","","","0"
"2002","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","42100","","","","0"
"2003","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","43000","","","","0"
"2004","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","44600","","","","0"
"2005","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","46200","","","","0"
"2006","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","48400","","","","0"
"2007","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","51080","","","","0"
"2008","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","53130","","","","0"
"2009","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","53760","","","","0"
"2010","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","54810","","","","0"
"2011","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","56700","","","","0"
"2012","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","58710","","","","0"
"2013","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","60530","","","","0"
"2014","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","62540","","","","0"
"2015","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","64590","","","","0"
"2016","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","65390","","","","0"
"2017","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","67420","","","","0"
"2018","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","70060","","","","0"
"2019","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","72530","","","","0"
"2020","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","76510","","","","0"
"2021","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","77860","","","","0"
"2022","Canada","2016A000011124","Couple families","65 years and over","Median total income","Dollars","81","units","0","v21253387","1.1.7.23","81380","","","","0"
"2000","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","24900","","","","0"
"2001","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","27200","","","","0"
"2002","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","28100","","","","0"
