"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Christian","","0","units","0","","1.2.1.2.3","7.1","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Hindu","","0","units","0","","1.2.1.2.19","0.4","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Jewish","","0","units","0","","1.2.1.2.20","0.2","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Muslim","","0","units","0","","1.2.1.2.21","1.3","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Sikh","","0","units","0","","1.2.1.2.22","0.4","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.2.1.2.23","0.1","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.2.1.2.24","0.1","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Total - Gender","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.2.1.2.25","7.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Total - Religion","","0","units","0","","1.2.2.1.1","3075915","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Buddhist","","0","units","0","","1.2.2.1.2","16330","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Christian","","0","units","0","","1.2.2.1.3","1310455","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Hindu","","0","units","0","","1.2.2.1.19","73270","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Jewish","","0","units","0","","1.2.2.1.20","29575","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Muslim","","0","units","0","","1.2.2.1.21","238755","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Sikh","","0","units","0","","1.2.2.1.22","68030","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.2.2.1.23","11875","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.2.2.1.24","12595","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","2021 Counts","No religion and secular perspectives","","0","units","0","","1.2.2.1.25","1315035","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Total - Religion","","0","units","0","","1.2.2.2.1","8.5","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Buddhist","","0","units","0","","1.2.2.2.2","0.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Christian","","0","units","0","","1.2.2.2.3","3.6","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Hindu","","0","units","0","","1.2.2.2.19","0.2","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Jewish","","0","units","0","","1.2.2.2.20","0.1","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Muslim","","0","units","0","","1.2.2.2.21","0.7","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Sikh","","0","units","0","","1.2.2.2.22","0.2","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.2.2.2.23","0.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.2.2.2.24","0.0","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Men+","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.2.2.2.25","3.6","","","","1"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Total - Religion","","0","units","0","","1.2.3.1.1","2916640","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Buddhist","","0","units","0","","1.2.3.1.2","15280","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Christian","","0","units","0","","1.2.3.1.3","1260035","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Hindu","","0","units","0","","1.2.3.1.19","69550","","","","0"
"2021","Canada","2021A000011124","0 to 14 years","Women+","2021 Counts","Jewish","","0","units","0","","1.2.3.1.20","27865","","","","0"
