"Entry","Name","Origin","Source","Lat","Lon","CollDate","CollDate_Group","a","b","c","DTF_Cluster","DTF_PC1","DTF_PC2","DTF_PC3","myG_PC1","myG_PC2","myG_PC3","STR_Group","G1","G2","G3","G4","G5","G6","G7","G8","Region","SubRegion","ISO3","Country_Lat","Country_Lon","Size","SeedMass1000","diameter","CotyledonColor","TestaColor","TestaPattern","BlackTesta","Urls"
47,"IG 1706 AGL","Ethiopia","ICARDA",7.21667,38.55,NA,NA,-0.0244837142828601,0.000401223915753453,0.00249501259035347,6,1.3154422625181,-2.81384579951342,-1.3147143125728,133.029218676725,37.1990726455972,75.5574087892944,"Mix",0.548641,0,0,0,0,0.451359,0,0,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"S",24.6751863684771,0.368,"Red","Grey","Absent","Mottle","https://purl.org/germplasm/id/87e17ed9-1110-4fd2-8957-51b2a377cb69;http://grs.icarda.org/accessions/?IG=1706"
48,"IG 1959 AGL","Ethiopia","ICARDA",NA,NA,NA,NA,-0.0223324186479011,0.000414821287694001,0.00232617481884802,4,0.151031285365209,-1.52229663803692,-1.1542929294975,272.735333118494,-15.6493834539698,230.897817502841,"G3",0,0,1,0,0,0,0,0,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"M",36.7527675276753,0.42,"Yellow","Tan","Dotted","Pattern","https://purl.org/germplasm/id/dd04eec2-5e3e-4072-a5cc-065f98830e61;http://grs.icarda.org/accessions/?IG=1959"
49,"IG 4258 AGL","India","ICARDA",NA,NA,NA,NA,-0.0199293586501487,0.0004077373844909,0.00224393532904485,2,-4.5224820473208,-0.36869714221922,0.936683770771441,147.734324502299,43.4756692800633,82.3172964018138,"Mix",0.539814,0,0,0,0,0.460186,0,0,"Asia","Southern Asia","IND",22.88578035,79.61197355,"S",24.7834274952919,0.354,"Red","Grey","Dotted;Marbled","Pattern","https://purl.org/germplasm/id/21760f8b-6b62-4906-a535-6061c1f14acc;http://grs.icarda.org/accessions/?IG=4258"
50,"IG 4781 AGL","Algeria","ICARDA",NA,NA,NA,NA,-0.0182651124776497,0.000357959038976618,0.00196534181219934,7,5.00933387132061,0.351042543733128,0.554196308490891,269.105745653284,-17.0266380985982,228.644711995902,"G3",0,0,1,0,0,0,0,0,"Africa","Northern Africa","DZA",28.15893844,2.61732102,"L",47.879746835443,0.513,"Yellow","Green","Absent","Absent","https://purl.org/germplasm/id/8008cdcd-f4bb-4cf9-9f04-b9bdae60d8fc;http://grs.icarda.org/accessions/?IG=4781"
51,"IG 858 AGL","Algeria","ICARDA",36.3667,6.76667,NA,NA,-0.0224693060687009,0.000426322306123265,0.00230539760325804,4,0.394525827065199,-0.990127231461264,-1.87791153320556,244.233023926023,2.08086811247884,-244.458869266484,"G4",0,0,0,0.981814,0,0,0.018185,0,"Africa","Northern Africa","DZA",28.15893844,2.61732102,"S",31.2085561497326,0.379,"Yellow","Grey","Mottle2","Mottle","https://purl.org/germplasm/id/3d230ff8-acae-4ce7-941c-2d4c9016f9e3;http://grs.icarda.org/accessions/?IG=858"
52,"ILL 10657 AGL","Turkey","ICARDA",NA,NA,2004,"2000-2014",-0.0193892228290189,0.000496294220651698,0.00213316558462028,2,-5.97800661547948,0.217385356862993,0.634190288763543,-168.16192872771,-181.15650191646,-21.4831755768592,"G7",0,0,0,0,0.088415,0,0.911585,0,"Asia","Western Asia","TUR",39.06160342,35.16895529,"L",48.5263157894737,0.508,"Red","Grey","Absent","Absent","https://purl.org/germplasm/id/8002d562-57ab-49ac-a148-0e8625a010a6;https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1658128;http://grs.icarda.org/accessions/?IG=143547"
53,"ILL 10748 AGL","ICARDA","ICARDA",NA,NA,NA,NA,-0.014193247271595,0.000680954357120068,0.00150394251907385,1,-6.16639215959081,3.29837193635949,0.359265409006985,-106.736472892721,166.75859068325,-8.70301235312626,"G8",0.031508,0.050525,0,0,0,0,0,0.917967,"Other","Other",NA,NA,NA,"XL",64.123006833713,0.604,"Yellow","Green","Absent","Absent",NA
54,"ILL 11547 AGL","Ethiopia","ICARDA",NA,NA,NA,NA,-0.0180054100835757,0.000604448050671315,0.00191516458689568,1,-6.22389693315678,0.971378897980003,0.287928557233419,-91.5472440604169,-71.9016918154312,-11.4074598870823,"Mix",0,0,0,0.0208,0.49833,0,0,0.480869,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"M",38.2954545454545,0.438,"Red/Yellow","Brown","Mottle2","Mottle",NA
55,"ILL 11548 AGL","Ethiopia","ICARDA",NA,NA,NA,NA,-0.019345883162624,0.000689471591605811,0.00192053705144021,1,-6.5252901748404,1.0294407857126,-0.51713245747087,-141.227712063277,51.2871954908318,-17.6075416496617,"Mix",0,0.044685,0,0,0,0,0.369975,0.58534,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"M",30.7254361799816,0.428,"Yellow","Olive","Mottle2","Mottle",NA
56,"ILL 11553 AGL","India","ICARDA",NA,NA,NA,NA,-0.018222882904492,0.000467160271417891,0.00205614012261496,2,-5.60516311617173,0.768257486718703,0.440173120480557,-130.088144971495,197.434954674338,4.26299244652749,"G8",0,0,0,0,0,0,0,1,"Asia","Southern Asia","IND",22.88578035,79.61197355,"M",35.1836734693877,0.434,"Red","Grey","Dotted;Marbled","Pattern",NA
57,"ILL 11555 AGL","India","ICARDA",NA,NA,NA,NA,-0.0180861680717831,0.000634162671737381,0.00188933660667008,1,-6.47196211356711,1.08268697982981,-0.0646985499019491,88.643639889955,-69.145342232017,-139.925928100675,"Mix",0,0,0,0.598333,0.11544,0,0.286227,0,"Asia","Southern Asia","IND",22.88578035,79.61197355,"M",42.0833333333333,0.46,"Red/Yellow","Green","Mottle1","Mottle",NA
